Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
classic-leather-backpack,Classic Leather Backpack,"<p>Premium full-grain leather backpack with padded laptop compartment and antique brass hardware. Fits up to a 15-inch laptop.</p>",UrbanCraft,Bags,"backpack, leather, premium, travel, laptop",true,Color,Brown,Size,Medium,CLB-BRN-M,850,25,129.99,159.99,true,true,889900112233,https://burst.shopifycdn.com/photos/leather-bag-on-table.jpg,1,Classic leather backpack in brown,active
classic-leather-backpack,,,,,,,,Black,,Medium,CLB-BLK-M,850,18,129.99,159.99,true,true,889900112234,https://burst.shopifycdn.com/photos/black-leather-bag.jpg,2,Classic leather backpack in black,
classic-leather-backpack,,,,,,,,Brown,,Large,CLB-BRN-L,950,12,149.99,179.99,true,true,889900112235,,,,
classic-leather-backpack,,,,,,,,Black,,Large,CLB-BLK-L,950,8,149.99,179.99,true,true,889900112236,,,,
organic-cotton-tshirt,Organic Cotton T-Shirt,"<p>Ultra-soft 100% organic cotton tee. Pre-shrunk, ethically sourced, and available in vibrant colors.</p>",EcoWear,Apparel,"tshirt, organic, cotton, sustainable, basics",true,Color,White,Size,S,OCT-WHT-S,180,50,34.99,,true,true,445566001122,https://burst.shopifycdn.com/photos/white-t-shirt-on-hanger.jpg,1,Organic cotton t-shirt in white,active
organic-cotton-tshirt,,,,,,,,White,,M,OCT-WHT-M,200,75,34.99,,true,true,445566001123,,,,
organic-cotton-tshirt,,,,,,,,White,,L,OCT-WHT-L,220,60,34.99,,true,true,445566001124,,,,
organic-cotton-tshirt,,,,,,,,Navy,,S,OCT-NVY-S,180,40,34.99,,true,true,445566001125,https://burst.shopifycdn.com/photos/navy-t-shirt.jpg,2,Organic cotton t-shirt in navy,
organic-cotton-tshirt,,,,,,,,Navy,,M,OCT-NVY-M,200,55,34.99,,true,true,445566001126,,,,
organic-cotton-tshirt,,,,,,,,Navy,,L,OCT-NVY-L,220,45,34.99,,true,true,445566001127,,,,
wireless-noise-cancelling-headphones,Wireless Noise-Cancelling Headphones,"<p>Studio-quality sound with active noise cancellation. 30-hour battery life, Bluetooth 5.3, and memory-foam ear cushions.</p>",SoundMax,Electronics,"headphones, wireless, noise-cancelling, bluetooth, audio",true,Color,Matte Black,,,WNC-MBLK,320,30,249.99,299.99,true,true,778899223344,https://burst.shopifycdn.com/photos/headphones-product-shot.jpg,1,Wireless noise-cancelling headphones in matte black,active
wireless-noise-cancelling-headphones,,,,,,,,Silver,,,WNC-SLVR,320,20,249.99,299.99,true,true,778899223345,https://burst.shopifycdn.com/photos/silver-headphones.jpg,2,Wireless noise-cancelling headphones in silver,
wireless-noise-cancelling-headphones,,,,,,,,Midnight Blue,,,WNC-MBLU,320,15,259.99,299.99,true,true,778899223346,,,,
artisan-ceramic-mug,Artisan Ceramic Mug,"<p>Handcrafted ceramic mug with a rustic glaze finish. Microwave and dishwasher safe. 12 oz capacity.</p>",ClayWorks,Kitchen,"mug, ceramic, handmade, kitchen, gift",true,Style,Speckled Earth,,,ACM-SPEC,340,100,24.99,,true,true,223344556677,https://burst.shopifycdn.com/photos/ceramic-mug-on-table.jpg,1,Artisan ceramic mug speckled earth,active
artisan-ceramic-mug,,,,,,,,Ocean Blue,,,ACM-OCEAN,340,80,24.99,,true,true,223344556678,https://burst.shopifycdn.com/photos/blue-ceramic-mug.jpg,2,Artisan ceramic mug ocean blue,
artisan-ceramic-mug,,,,,,,,Forest Green,,,ACM-FOREST,340,60,24.99,,true,true,223344556679,,,,
minimalist-desk-lamp,Minimalist Desk Lamp,"<p>Sleek aluminum desk lamp with adjustable arm and warm LED light. Touch-dimming with 3 brightness levels.</p>",LumiCraft,Lighting,"lamp, desk, minimalist, LED, office",true,Finish,Brushed Nickel,,,MDL-BNICKEL,1200,35,89.99,109.99,true,true,991122334455,https://burst.shopifycdn.com/photos/desk-lamp-minimalist.jpg,1,Minimalist desk lamp brushed nickel,active
minimalist-desk-lamp,,,,,,,,,,,MDL-MBLACK,1200,45,89.99,109.99,true,true,991122334456,https://burst.shopifycdn.com/photos/black-desk-lamp.jpg,2,Minimalist desk lamp matte black,
